Symbol	Description
AAAAX	Dws Alternative Asset Allocation Fund Class A
AAADX	Alpine Accelerating Dividend Fd Cl A
AAAGX	Thrivent Large Cap Growth Fund Class A
AAAIX	American Century Strategic Allocation - Aggressi
AAANX	Horizon Active Asset Allocation Fd Cl N
AAAPX	Dws Alternative Asset Allocation Fund Class C
AAAQX	Dws Alternative Asset Allocation Fund Class R
AAARX	American Century Strategic Allocation Aggressive
AAASX	Dws Alternative Asset Allocation Fund Class S
AAATX	American Fds 2010 Target Date Retirement Fd Cl A
AAAUX	American Century Strategic Allocation Aggressive
AAAVX	Deutsche Alternative Asset Allc R6
AAAZX	Dws Alternative Asset Allocation  Fund Insti Cla
AABAX	Cavanal Hill Balanced Fd Cl A Shs
AABCX	Putnam Dynamic Asset Allocation Balanced Class C
AABDX	American Beacon Intermediate Bond Fd Institution
AABFX	Thrivent Balanced Income Plus Fund Class A
AABNX	American Beacon Balanced Fd AMR Class
AABOX	Cavanal Hill Bond Fd Cl A Shs
AABPX	American Beacon Balanced Fund Investor Class
AABTX	American Fds 2015 Target Date Retirement Fd Cl A
AACBX	Cavanal Hill Balanced C
AACCX	American Century Strategic Allocation Conservat
AACDX	American Century Strategic Allocation Conservati
AACEX	Cavanal Hill US Large Cap Equity C
AACFX	Invesco China Class A
AACIX	American Beacon Mid-Cap Value Fund Institutional
AACOX	Cavanal Hill Opportunistic C
AACRX	American Century Strategic Allocation Conservati
AACTX	American Fds 2020 Target Date Retirement Fd Cl A
AACYX	Alger Analyst Fund Class C
AADAX	Invesco Growth  Allocation Fund Class A
AADBX	American Beacon Balanced Fund Institutional Clas
AADCX	Invesco Growth Allocation Fund Class C
AADDX	Alpine Accelerating Dividend Fund
AADEX	American Beacon Large Cap Value Fund Institution
AADIX	Invesco Growth Allocation Fund Class R5
AADRX	Invesco Growth Allocation Fund Class R
AADSX	Invesco Growth Allocation Fund Class S
AADTX	American Fds 2025 Target Date Retirement Fd Cl A
AADYX	Invesco Growth Allocation Fund Class Y
AAEBX	Invesco Growth Allocation Fund Class B
AAEMX	The Alger Fds II Alger Emerging Markets Fund Cl
AAEPX	American Beacon Emerging Markets Fund Investor C
AAEQX	Cavanal Hill U.S. Large Cap Equity Cl A Shs
AAETX	American Fds 2030 Target Date Retirement Fd Cl A
AAFPX	American Beacon S&P 500 Index Fd Investor Class
AAFTX	American Fds 2035 Target Date Retirement Fd Cl A
AAGAX	American Beacon Large Cap Value Fund AMR Class
AAGOX	Alger Portfolios - Alger Growth Portfolio Class
AAGPX	American Beacon Large Cap Value Fund Investor Cl
AAGRX	Forward Multi-Strategy Fund Institutional Class
AAGTX	American Fds 2040 Target Date Retirement Fd Cl A
AAHMX	Alpine High Yield Managed Duration Muni Fd Cl A
AAHTX	American Fds 2045 Target Date Retirement Fd Cl A
AAHYX	Thrivent Diversified Income Plus Class A
AAIAX	American Beacon International Equity Fund AMR Cl
AAIBX	Cavanal Hill Intermediate Bond Fd Cl A Shs
AAIEX	American Beacon Intl Equity Fund Inst Class
AAIFX	Anchor Alternative Income Fund - Investor Class
AAIIX	Ancora Income Fund Class I
AAINX	Thrivent Opportunity Income Plus Fund Class A
AAIPX	American Beacon International Equity Fund Invest
AAISX	American Beacon International Equity Fund Adviso
AAIYX	Alger Analyst Fund Class I
AALGX	Thrivent Large Cap Stock Fund Class A
AALIX	Aston/Herndon Large Cap Value Fund Class N
AALPX	American Beacon Short-Term Bond Fund Investor Cl
AALTX	American Fds 2050 Target Date Retirement Fd Cl A
AALVX	Thrivent Partner Small Cap Value Fund Class A
AAMBX	Thrivent Municipal Bond Fund  Class A
AAMOX	Alger Portfolios - Alger Smidcap Growth Ptf Clas
AAMPX	Allianzgi Micro Cap Fd Cl P
AAMRX	American Beacon Emerging Mkts Fd AMR Cl
AAMTX	American Funds 2055 Target Date Retirement Fund
AANPX	American Beacon Retirement Income & Appreciation
AANTX	American Funds 2060 Target Date Ret A
AAOPX	Cavanal Hill Opportunistic Fd Cl A
AAPAX	American Beacon Retirement Income & Appreciation
